id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0153__20200628T141049_20200628T141048_T20JPM,0,0,0,37187,0,0,0,109061,0,0,0,115896,0,0,0,0
ROI_0154__20190326T141049_20190326T141445_T20HNJ,1980,158182,26,0,67,50456,264,0,0,0,0,0,146,51023,0,0
ROI_0154__20191113T140051_20191113T140054_T20HNJ,0,188,0,12163,0,81586,0,24663,18,24059,0,79227,0,14635,0,25605
ROI_0154__20191231T141039_20191231T142033_T20HNJ,2040,4855,23,224457,1103,6037,7842,4775,0,0,0,0,406,2449,515,7642
ROI_0154__20200120T140639_20200120T141746_T20HNJ,55637,28613,1057,5438,6156,18928,13361,3928,49187,5357,8,21682,40988,7105,665,4034
ROI_0154__20200201T135641_20200201T140849_T20HNJ,78944,9628,3,173569,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0159__20190718T143751_20190718T144610_T19HBV,159,184008,1581,0,11,53991,573,0,0,0,0,0,0,21628,193,0
ROI_0159__20191016T143731_20191016T144649_T18HYE,489,26240,0,1,125,176888,39279,65,0,0,0,0,5,18166,886,0
ROI_0159__20200129T143659_20200129T144449_T18HYE,104992,32632,0,124520,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0159__20200403T143721_20200403T144642_T19HBV,9838,77198,15811,59565,0,0,0,0,7229,72955,133,19415,0,0,0,0
ROI_0159__20200607T143729_20200607T144648_T19HBV,22,4040,4,38753,53,55125,37,97429,0,0,0,0,43,11145,0,55493
ROI_0165__20190224T145721_20190224T150622_T19LBD,15787,43949,49488,172,3069,48433,29469,5850,0,0,0,0,7172,51204,4796,2755
ROI_0165__20190331T145729_20190331T150118_T19LBD,0,65560,393,0,0,127801,17357,0,0,0,0,0,0,49912,1121,0
ROI_0165__20190917T145729_20190917T150535_T19LBD,0,262094,50,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0165__20191022T145731_20191022T150543_T19LBD,5912,176444,0,2183,527,46672,0,0,0,0,0,0,7779,20138,0,2489
ROI_0165__20191221T145721_20191221T145719_T19LBD,4524,54148,68,0,43,95300,22,0,9,75600,16,0,56,32358,0,0
ROI_0197__20190609T175919_20190609T180009_T14VPM,0,9438,0,0,0,231559,0,0,0,0,0,0,0,21147,0,0
ROI_0197__20190621T174911_20190621T175233_T14VPM,88074,2131,0,35496,6466,50074,10,21083,11392,0,0,0,32719,1116,0,13583
ROI_0197__20190714T175921_20190714T180011_T14VPM,600,102477,0,0,0,126922,382,0,0,0,0,0,30,31670,63,0
